developer-friendly name,VARIABLE NAME
program.bachelors.philosophy_religious,CIP38BACHL
program.certificate_lt_1_yr.theology_religious_vocation,CIP39CERT1
program.certificate_lt_2_yr.theology_religious_vocation,CIP39CERT2
program.assoc.theology_religious_vocation,CIP39ASSOC
program.certificate_lt_4_yr.theology_religious_vocation,CIP39CERT4
program.bachelors.theology_religious_vocation,CIP39BACHL
program.certificate_lt_1_yr.physical_science,CIP40CERT1
program.certificate_lt_2_yr.physical_science,CIP40CERT2
program.assoc.physical_science,CIP40ASSOC
program.certificate_lt_4_yr.physical_science,CIP40CERT4
program.bachelors.physical_science,CIP40BACHL
program.certificate_lt_1_yr.science_technology,CIP41CERT1
program.certificate_lt_2_yr.science_technology,CIP41CERT2
program.assoc.science_technology,CIP41ASSOC
program.certificate_lt_4_yr.science_technology,CIP41CERT4
program.bachelors.science_technology,CIP41BACHL
program.certificate_lt_1_yr.psychology,CIP42CERT1
program.certificate_lt_2_yr.psychology,CIP42CERT2
program.assoc.psychology,CIP42ASSOC
program.certificate_lt_4_yr.psychology,CIP42CERT4
program.bachelors.psychology,CIP42BACHL
program.certificate_lt_1_yr.security_law_enforcement,CIP43CERT1
program.certificate_lt_2_yr.security_law_enforcement,CIP43CERT2
program.assoc.security_law_enforcement,CIP43ASSOC
program.certificate_lt_4_yr.security_law_enforcement,CIP43CERT4
program.bachelors.security_law_enforcement,CIP43BACHL
program.certificate_lt_1_yr.public_administration_social_service,CIP44CERT1
program.certificate_lt_2_yr.public_administration_social_service,CIP44CERT2
program.assoc.public_administration_social_service,CIP44ASSOC
program.certificate_lt_4_yr.public_administration_social_service,CIP44CERT4
program.bachelors.public_administration_social_service,CIP44BACHL
program.certificate_lt_1_yr.social_science,CIP45CERT1
program.certificate_lt_2_yr.social_science,CIP45CERT2
program.assoc.social_science,CIP45ASSOC
program.certificate_lt_4_yr.social_science,CIP45CERT4
program.bachelors.social_science,CIP45BACHL
program.certificate_lt_1_yr.construction,CIP46CERT1
program.certificate_lt_2_yr.construction,CIP46CERT2
program.assoc.construction,CIP46ASSOC
program.certificate_lt_4_yr.construction,CIP46CERT4
program.bachelors.construction,CIP46BACHL
program.certificate_lt_1_yr.mechanic_repair_technology,CIP47CERT1
program.certificate_lt_2_yr.mechanic_repair_technology,CIP47CERT2
program.assoc.mechanic_repair_technology,CIP47ASSOC
program.certificate_lt_4_yr.mechanic_repair_technology,CIP47CERT4
program.bachelors.mechanic_repair_technology,CIP47BACHL
program.certificate_lt_1_yr.precision_production,CIP48CERT1
program.certificate_lt_2_yr.precision_production,CIP48CERT2
program.assoc.precision_production,CIP48ASSOC
program.certificate_lt_4_yr.precision_production,CIP48CERT4
program.bachelors.precision_production,CIP48BACHL
program.certificate_lt_1_yr.transportation,CIP49CERT1
program.certificate_lt_2_yr.transportation,CIP49CERT2
program.assoc.transportation,CIP49ASSOC
program.certificate_lt_4_yr.transportation,CIP49CERT4
program.bachelors.transportation,CIP49BACHL
program.certificate_lt_1_yr.visual_performing,CIP50CERT1
program.certificate_lt_2_yr.visual_performing,CIP50CERT2
program.assoc.visual_performing,CIP50ASSOC
program.certificate_lt_4_yr.visual_performing,CIP50CERT4
program.bachelors.visual_performing,CIP50BACHL
program.certificate_lt_1_yr.health,CIP51CERT1
program.certificate_lt_2_yr.health,CIP51CERT2
program.assoc.health,CIP51ASSOC
program.certificate_lt_4_yr.health,CIP51CERT4
program.bachelors.health,CIP51BACHL
program.certificate_lt_1_yr.business_marketing,CIP52CERT1
program.certificate_lt_2_yr.business_marketing,CIP52CERT2
program.assoc.business_marketing,CIP52ASSOC
program.certificate_lt_4_yr.business_marketing,CIP52CERT4
program.bachelors.business_marketing,CIP52BACHL
program.certificate_lt_1_yr.history,CIP54CERT1
program.certificate_lt_2_yr.history,CIP54CERT2
program.assoc.history,CIP54ASSOC
program.certificate_lt_4_yr.history,CIP54CERT4
program.bachelors.history,CIP54BACHL
online_only,DISTANCEONLY
,
size,UGDS
enrollment.all,UG
demographics.race_ethnicity.white,UGDS_WHITE
demographics.race_ethnicity.black,UGDS_BLACK
demographics.race_ethnicity.hispanic,UGDS_HISP
demographics.race_ethnicity.asian,UGDS_ASIAN
demographics.race_ethnicity.aian,UGDS_AIAN
demographics.race_ethnicity.nhpi,UGDS_NHPI
demographics.race_ethnicity.two_or_more,UGDS_2MOR
demographics.race_ethnicity.non_resident_alien,UGDS_NRA
demographics.race_ethnicity.unknown,UGDS_UNKN
demographics.race_ethnicity.white_non_hispanic,UGDS_WHITENH
demographics.race_ethnicity.black_non_hispanic,UGDS_BLACKNH
demographics.race_ethnicity.asian_pacific_islander,UGDS_API
demographics.race_ethnicity.aian_prior_2009,UGDS_AIANOLD
demographics.race_ethnicity.hispanic_prior_2009,UGDS_HISPOLD
demographics.non_resident_aliens_2000,UG_NRA
demographics.race_ethnicity.unknown_2000,UG_UNKN
demographics.race_ethnicity.white_2000,UG_WHITENH
demographics.race_ethnicity.black_2000,UG_BLACKNH
demographics.race_ethnicity.api_2000,UG_API
demographics.race_ethnicity.aian_2000,UG_AIANOLD
demographics.race_ethnicity.hispanic_2000,UG_HISPOLD
part_time_share,PPTUG_EF
part_time_share_2000,PPTUG_EF2
operating,CURROPER
,
avg_net_price.public,NPT4_PUB
avg_net_price.private,NPT4_PRIV
avg_net_price.program_year,NPT4_PROG
avg_net_price.other_academic_year,NPT4_OTHER
net_price.public.by_income_level.0-30000,NPT41_PUB
net_price.public.by_income_level.30001-48000,NPT42_PUB
net_price.public.by_income_level.48001-75000,NPT43_PUB
net_price.public.by_income_level.75001-110000,NPT44_PUB
net_price.public.by_income_level.110001-plus,NPT45_PUB
net_price.private.by_income_level.0-30000,NPT41_PRIV
net_price.private.by_income_level.30001-48000,NPT42_PRIV
net_price.private.by_income_level.48001-75000,NPT43_PRIV
net_price.private.by_income_level.75001-110000,NPT44_PRIV
net_price.private.by_income_level.110001-plus,NPT45_PRIV
net_price.program_reporter.by_income_level.0-30000,NPT41_PROG
net_price.program_reporter.by_income_level.30001-48000,NPT42_PROG
net_price.program_reporter.by_income_level.48001-75000,NPT43_PROG
net_price.program_reporter.by_income_level.75001-110000,NPT44_PROG
net_price.program_reporter.by_income_level.110001-plus,NPT45_PROG
net_price.other_acad_calendar.by_income_level.0-30000,NPT41_OTHER
net_price.other_acad_calendar.by_income_level.30001-48000,NPT42_OTHER
net_price.other_acad_calendar.by_income_level.48001-75000,NPT43_OTHER
net_price.other_acad_calendar.by_income_level.75001-110000,NPT44_OTHER
net_price.other_acad_calendar.by_income_level.110001-plus,NPT45_OTHER
net_price.public.by_income_level.0-48000,NPT4_048_PUB
net_price.private.by_income_level.0-48000,NPT4_048_PRIV
net_price.program_reporter.by_income_level.0-48000,NPT4_048_PROG
net_price.other_acad_calendar.by_income_level.0-48000,NPT4_048_OTHER
net_price.public.by_income_level.30001-75000,NPT4_3075_PUB
net_price.private.by_income_level.30001-75000,NPT4_3075_PRIV
net_price.public.by_income_level.75000-plus,NPT4_75UP_PUB
net_price.private.by_income_level.75000-plus,NPT4_75UP_PRIV
net_price.program_reporter.by_income_level.30001-75000,NPT4_3075_PROG
net_price.other_acad_calendar.by_income_level.30001-75000,NPT4_3075_OTHER
net_price.program_reporter.by_income_level.75000-plus,NPT4_75UP_PROG
net_price.other_acad_calendar.by_income_level.75000-plus,NPT4_75UP_OTHER
title_iv.public.all,NUM4_PUB
title_iv.private.all,NUM4_PRIV
title_iv.program_year,NUM4_PROG
title_iv.academic_year,NUM4_OTHER
title_iv.public.by_income_level.0-30000,NUM41_PUB
title_iv.public.by_income_level.30001-48000,NUM42_PUB
title_iv.public.by_income_level.48001-75000,NUM43_PUB
title_iv.public.by_income_level.75001-110000,NUM44_PUB
title_iv.public.by_income_level.110001-plus,NUM45_PUB
title_iv.private.by_income_level.0-30000,NUM41_PRIV
title_iv.private.by_income_level.30001-48000,NUM42_PRIV
title_iv.private.by_income_level.48001-75000,NUM43_PRIV
title_iv.private.by_income_level.75001-110000,NUM44_PRIV
title_iv.private.by_income_level.110001-plus,NUM45_PRIV
title_iv.program_reporter.by_income_level.0-30000,NUM41_PROG
title_iv.program_reporter.by_income_level.30001-48000,NUM42_PROG
title_iv.program_reporter.by_income_level.48001-75000,NUM43_PROG
title_iv.program_reporter.by_income_level.75001-110000,NUM44_PROG
title_iv.program_reporter.by_income_level.110001-plus,NUM45_PROG
title_iv.other_acad_calendar.by_income_level.0-30000,NUM41_OTHER
title_iv.other_acad_calendar.by_income_level.30001-48000,NUM42_OTHER
title_iv.other_acad_calendar.by_income_level.48001-75000,NUM43_OTHER
title_iv.other_acad_calendar.by_income_level.75001-110000,NUM44_OTHER
title_iv.other_acad_calendar.by_income_level.110001-plus,NUM45_OTHER
attendance.academic_year,COSTT4_A
attendance.program_year,COSTT4_P
tuition.in_state,TUITIONFEE_IN
tuition.out_of_state,TUITIONFEE_OUT
tuition.program_year,TUITIONFEE_PROG
tuition_revenue_per_fte,TUITFTE
instructional_expenditure_per_fte,INEXPFTE
faculty_salary,AVGFACSAL
ft_faculty_rate,PFTFAC
pell_grant_rate,PCTPELL
completion_rate_4yr_150nt,C150_4
completion_rate_less_than_4yr_150nt,C150_L4
completion_rate_4yr_150nt_pooled,C150_4_POOLED
completion_rate_less_than_4yr_150nt_pooled,C150_L4_POOLED
pooled_yrs_used,POOLYRS
share_first.time_full.time,PFTFTUG1_EF
completion_cohort_4yr_150nt,D150_4
completion_cohort_less_than_4yr_150nt,D150_L4
completion_cohort_4yr_150nt_pooled,D150_4_POOLED
completion_cohort_less_than_4yr_150nt_pooled,D150_L4_POOLED
completion_rate_4yr_150_white,C150_4_WHITE
completion_rate_4yr_150_black,C150_4_BLACK
completion_rate_4yr_150_hispanic,C150_4_HISP
completion_rate_4yr_150_asian,C150_4_ASIAN
completion_rate_4yr_150_aian,C150_4_AIAN
completion_rate_4yr_150_nhpi,C150_4_NHPI
completion_rate_4yr_150_2ormore,C150_4_2MOR
completion_rate_4yr_150_nonresident.alien,C150_4_NRA
completion_rate_4yr_150_race.unknown,C150_4_UNKN
completion_rate_4yr_150_white_pre2010,C150_4_WHITENH
completion_rate_4yr_150_black_pre2010,C150_4_BLACKNH
completion_rate_4yr_150_api_pre2010,C150_4_API
completion_rate_4yr_150_aian_pre2010,C150_4_AIANOLD
completion_rate_4yr_150_hispanic_pre2010,C150_4_HISPOLD
completion_rate_l4yr_150_white,C150_L4_WHITE
completion_rate_l4yr_150_black,C150_L4_BLACK
completion_rate_l4yr_150_hispanic,C150_L4_HISP
completion_rate_l4yr_150_asian,C150_L4_ASIAN
completion_rate_l4yr_150_aian,C150_L4_AIAN
completion_rate_l4yr_150_nhpi,C150_L4_NHPI
completion_rate_l4yr_150_2ormore,C150_L4_2MOR
completion_rate_l4yr_150_nonresident.alien,C150_L4_NRA
completion_rate_l4yr_150_race.unknown,C150_L4_UNKN
completion_rate_l4yr_150_white_pre2010,C150_L4_WHITENH
completion_rate_l4yr_150_black_pre2010,C150_L4_BLACKNH
completion_rate_l4yr_150_api_pre2010,C150_L4_API
completion_rate_l4yr_150_aian_pre2010,C150_L4_AIANOLD
completion_rate_l4yr_150_hispanic_pre2010,C150_L4_HISPOLD
retention_rate.four_year.full_time,RET_FT4
retention_rate.lt_four_year.full_time,RET_FTL4
retention_rate.four_year.part_time,RET_PT4
retention_rate.lt_four_year.part_time,RET_PTL4
federal_loan_rate,PCTFLOAN
share_25_older,UG25ABV
2_yr_default_rate,CDR2
3_yr_default_rate,CDR3
title_iv.died_by.2yrs,DEATH_YR2_RT
title_iv.completed_by.2yrs,COMP_ORIG_YR2_RT
title_iv.transf_completed_4yr_by.2yrs,COMP_4YR_TRANS_YR2_RT
title_iv.transf_completed_2yr_by.2yrs,COMP_2YR_TRANS_YR2_RT
title_iv.withdrawn_by.2yrs,WDRAW_ORIG_YR2_RT
title_iv.transf_withdrawn_4yr_by.2yrs,WDRAW_4YR_TRANS_YR2_RT
title_iv.transf_withdrawn_2yr_by.2yrs,WDRAW_2YR_TRANS_YR2_RT
title_iv.still_enrolled_by.2yrs,ENRL_ORIG_YR2_RT
title_iv.transf_still_enrolled_4yr_by.2yrs,ENRL_4YR_TRANS_YR2_RT
title_iv.transf_still_enrolled_2yr_by.2yrs,ENRL_2YR_TRANS_YR2_RT
title_iv.unknown_by.2yrs,UNKN_ORIG_YR2_RT
title_iv.transf_unknown_4yr_by.2yrs,UNKN_4YR_TRANS_YR2_RT
title_iv.transf_unknown_2yr_by.2yrs,UNKN_2YR_TRANS_YR2_RT
title_iv.low_inc.died_by.2yrs,LO_INC_DEATH_YR2_RT
title_iv.low_inc.completed_by.2yrs,LO_INC_COMP_ORIG_YR2_RT
title_iv.low_inc.transf_completed_4yr_by.2yrs,LO_INC_COMP_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_completed_2yr_by.2yrs,LO_INC_COMP_2YR_TRANS_YR2_RT
title_iv.low_inc.withdrawn_by.2yrs,LO_INC_WDRAW_ORIG_YR2_RT
title_iv.low_inc.transf_withdrawn_4yr_by.2yrs,LO_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_withdrawn_2yr_by.2yrs,LO_INC_WDRAW_2YR_TRANS_YR2_RT
title_iv.low_inc.still_enrolled_by.2yrs,LO_INC_ENRL_ORIG_YR2_RT
title_iv.low_inc.transf_still_enrolled_4yr_by.2yrs,LO_INC_ENRL_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_still_enrolled_2yr_by.2yrs,LO_INC_ENRL_2YR_TRANS_YR2_RT
title_iv.low_inc.unknown_by.2yrs,LO_INC_UNKN_ORIG_YR2_RT
title_iv.low_inc.transf_unknown_4yr_by.2yrs,LO_INC_UNKN_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_unknown_2yr_by.2yrs,LO_INC_UNKN_2YR_TRANS_YR2_RT
title_iv.mid_inc.died_by.2yrs,MD_INC_DEATH_YR2_RT
title_iv.mid_inc.completed_by.2yrs,MD_INC_COMP_ORIG_YR2_RT
title_iv.mid_inc.transf_completed_4yr_by.2yrs,MD_INC_COMP_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_completed_2yr_by.2yrs,MD_INC_COMP_2YR_TRANS_YR2_RT
title_iv.mid_inc.withdrawn_by.2yrs,MD_INC_WDRAW_ORIG_YR2_RT
title_iv.mid_inc.transf_withdrawn_4yr_by.2yrs,MD_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_withdrawn_2yr_by.2yrs,MD_INC_WDRAW_2YR_TRANS_YR2_RT
title_iv.mid_inc.still_enrolled_by.2yrs,MD_INC_ENRL_ORIG_YR2_RT
title_iv.mid_inc.transf_still_enrolled_4yr_by.2yrs,MD_INC_ENRL_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_still_enrolled_2yr_by.2yrs,MD_INC_ENRL_2YR_TRANS_YR2_RT
title_iv.mid_inc.unknown_by.2yrs,MD_INC_UNKN_ORIG_YR2_RT
title_iv.mid_inc.transf_unknown_4yr_by.2yrs,MD_INC_UNKN_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_unknown_2yr_by.2yrs,MD_INC_UNKN_2YR_TRANS_YR2_RT
title_iv.high_inc.died_by.2yrs,HI_INC_DEATH_YR2_RT
title_iv.high_inc.completed_by.2yrs,HI_INC_COMP_ORIG_YR2_RT
title_iv.high_inc.transf_completed_4yr_by.2yrs,HI_INC_COMP_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_completed_2yr_by.2yrs,HI_INC_COMP_2YR_TRANS_YR2_RT
title_iv.high_inc.withdrawn_by.2yrs,HI_INC_WDRAW_ORIG_YR2_RT
title_iv.high_inc.transf_withdrawn_4yr_by.2yrs,HI_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_withdrawn_2yr_by.2yrs,HI_INC_WDRAW_2YR_TRANS_YR2_RT
title_iv.high_inc.still_enrolled_by.2yrs,HI_INC_ENRL_ORIG_YR2_RT
title_iv.high_inc.transf_still_enrolled_4yr_by.2yrs,HI_INC_ENRL_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_still_enrolled_2yr_by.2yrs,HI_INC_ENRL_2YR_TRANS_YR2_RT
title_iv.high_inc.unknown_by.2yrs,HI_INC_UNKN_ORIG_YR2_RT
title_iv.high_inc.transf_unknown_4yr_by.2yrs,HI_INC_UNKN_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_unknown_2yr_by.2yrs,HI_INC_UNKN_2YR_TRANS_YR2_RT
title_iv.depend.died_by.2yrs,DEP_DEATH_YR2_RT
title_iv.depend.completed_by.2yrs,DEP_COMP_ORIG_YR2_RT
title_iv.depend.transf_completed_4yr_by.2yrs,DEP_COMP_4YR_TRANS_YR2_RT
title_iv.depend.transf_completed_2yr_by.2yrs,DEP_COMP_2YR_TRANS_YR2_RT
title_iv.depend.withdrawn_by.2yrs,DEP_WDRAW_ORIG_YR2_RT
title_iv.depend.transf_withdrawn_4yr_by.2yrs,DEP_WDRAW_4YR_TRANS_YR2_RT
title_iv.depend.transf_withdrawn_2yr_by.2yrs,DEP_WDRAW_2YR_TRANS_YR2_RT
title_iv.depend.still_enrolled_by.2yrs,DEP_ENRL_ORIG_YR2_RT
title_iv.depend.transf_still_enrolled_4yr_by.2yrs,DEP_ENRL_4YR_TRANS_YR2_RT
title_iv.depend.transf_still_enrolled_2yr_by.2yrs,DEP_ENRL_2YR_TRANS_YR2_RT
title_iv.depend.unknown_by.2yrs,DEP_UNKN_ORIG_YR2_RT
title_iv.depend.transf_unknown_4yr_by.2yrs,DEP_UNKN_4YR_TRANS_YR2_RT
title_iv.depend.transf_unknown_2yr_by.2yrs,DEP_UNKN_2YR_TRANS_YR2_RT
title_iv.independ.died_by.2yrs,IND_DEATH_YR2_RT
title_iv.independ.completed_by.2yrs,IND_COMP_ORIG_YR2_RT
title_iv.independ.transf_completed_4yr_by.2yrs,IND_COMP_4YR_TRANS_YR2_RT
title_iv.independ.transf_completed_2yr_by.2yrs,IND_COMP_2YR_TRANS_YR2_RT
title_iv.independ.withdrawn_by.2yrs,IND_WDRAW_ORIG_YR2_RT
title_iv.independ.transf_withdrawn_4yr_by.2yrs,IND_WDRAW_4YR_TRANS_YR2_RT
title_iv.independ.transf_withdrawn_2yr_by.2yrs,IND_WDRAW_2YR_TRANS_YR2_RT
title_iv.independ.still_enrolled_by.2yrs,IND_ENRL_ORIG_YR2_RT
title_iv.independ.transf_still_enrolled_4yr_by.2yrs,IND_ENRL_4YR_TRANS_YR2_RT
title_iv.independ.transf_still_enrolled_2yr_by.2yrs,IND_ENRL_2YR_TRANS_YR2_RT
